"Gene Name","Protein IDs","H_vs_L_log2 fold change","H_vs_L_p.val","H_vs_L_p.adj","significant","H_vs_L_significant","imputed","num_NAs","Protein.names"
"ydfG","P39831",1.32,4.31e-05,0.00125,TRUE,TRUE,FALSE,0,"NADP-dependent 3-hydroxy acid dehydrogenase YdfG"
"ydfZ","P64463",1.08,0.000682,0.00378,TRUE,TRUE,FALSE,0,"Putative selenoprotein ydfZ"
"ydgA","P77804",1.19,5.13e-05,0.00125,TRUE,TRUE,FALSE,0,"Protein ydgA"
"ydhF","P76187",1.85,0.000293,0.0023,TRUE,TRUE,FALSE,0,"Oxidoreductase YdhF"
"ydhQ","P77552",1.79,0.000498,0.00312,TRUE,TRUE,FALSE,0,"Uncharacterized protein ydhQ"
"ydhR","P0ACX3",1.05,0.000621,0.00359,TRUE,TRUE,FALSE,0,"Putative monooxygenase ydhR"
"ydiJ","P77748",1.48,9.56e-05,0.00135,TRUE,TRUE,FALSE,0,"Uncharacterized protein ydiJ"
"ydjA","P0ACY1",1.26,5.36e-05,0.00125,TRUE,TRUE,FALSE,0,"Putative NAD(P)H nitroreductase ydjA"
"ydjN","P77529",1.24,0.000455,0.00293,TRUE,TRUE,FALSE,0,"Uncharacterized symporter ydjN"
"yeaG","P0ACY3",1.39,6.5e-05,0.00125,TRUE,TRUE,FALSE,0,"Uncharacterized protein yeaG"
"yeaK","P64483",1.48,0.000974,0.00472,TRUE,TRUE,FALSE,0,"Uncharacterized protein yeaK"
"yeaY","P0AA91",1.36,0.000428,0.00285,TRUE,TRUE,FALSE,0,"Uncharacterized lipoprotein yeaY"
"yebC","P0A8A0",1.27,0.00271,0.00926,TRUE,TRUE,FALSE,0,"Probable transcriptional regulatory protein YebC"
"yebE","P33218",1.57,0.000124,0.00148,TRUE,TRUE,FALSE,0,"Inner membrane protein yebE"
"yebT","P76272",1.24,3.51e-05,0.00125,TRUE,TRUE,FALSE,0,"Uncharacterized protein yebT"
"yebV","P64503",1.25,0.000493,0.0031,TRUE,TRUE,FALSE,0,"Uncharacterized protein yebV"
"yecA","P0AD05",2.35,0.000557,0.00337,TRUE,TRUE,FALSE,0,"Uncharacterized protein yecA"
"yecM","P52007",1.28,4.37e-05,0.00125,TRUE,TRUE,FALSE,0,"Protein yecM"
"yecS","P0AFT2",1.65,4.3e-05,0.00125,TRUE,TRUE,FALSE,0,"Inner membrane amino-acid ABC transporter permease protein yecS"
"yedD","P31063",1.08,0.000787,0.00414,TRUE,TRUE,FALSE,0,"Uncharacterized lipoprotein yedD"
"yedI","P46125",1.53,0.00121,0.00542,TRUE,TRUE,FALSE,0,"Inner membrane protein yedI"
"yedP","P76329",1.57,3.54e-05,0.00125,TRUE,TRUE,FALSE,0,"Putative mannosyl-3-phosphoglycerate phosphatase"
"yedQ","P76330",2.26,0.000151,0.00158,TRUE,TRUE,FALSE,0,"Probable diguanylate cyclase YedQ"
"yeeZ","P0AD12",1.56,5.61e-05,0.00125,TRUE,TRUE,FALSE,0,"Protein yeeZ"
"yegQ","P76403",1.62,0.00177,0.00695,TRUE,TRUE,FALSE,0,"Uncharacterized protease yegQ"
"yegS","P76407",2.76,0.000506,0.00314,TRUE,TRUE,TRUE,3,"Lipid kinase YegS"
"yegT","P76417",1.51,0.00421,0.0124,TRUE,TRUE,FALSE,0,"Putative nucleoside transporter yegT"
"yegU","P76418",1.27,6.71e-05,0.00125,TRUE,TRUE,FALSE,0,"Uncharacterized protein yegU"
"yegV","P76419",1.14,0.00201,0.00752,TRUE,TRUE,FALSE,0,"Uncharacterized sugar kinase YegV"
"yeiE","P0ACR4",1.7,0.00594,0.0158,TRUE,TRUE,FALSE,0,"Uncharacterized HTH-type transcriptional regulator YeiE"
"yeiG","P33018",2.18,3.32e-05,0.00125,TRUE,TRUE,FALSE,0,"S-formylglutathione hydrolase yeiG"
"yeiP","P0A6N8",2.03,5.34e-06,0.00125,TRUE,TRUE,FALSE,0,"Elongation factor P-like protein"
"yejK","P33920",1.7,6.52e-05,0.00125,TRUE,TRUE,FALSE,0,"Nucleoid-associated protein YejK"
"yfaY","P77808",1.04,0.0185,0.0367,TRUE,TRUE,FALSE,0,"CinA-like protein"
"yfbT","P77625",1.59,0.000676,0.00376,TRUE,TRUE,FALSE,0,"Sugar phosphatase YfbT"
"yfcE","P67095",1.52,0.00669,0.0172,TRUE,TRUE,FALSE,0,"Phosphodiesterase yfcE"
"yfcG","P77526",1.16,0.000242,0.00204,TRUE,TRUE,FALSE,0,"Probable disulfide bond reductase yfcG"
"yfcH","P77775",1.2,0.000302,0.00233,TRUE,TRUE,FALSE,0,"Epimerase family protein yfcH"
"yfcZ","P0AD33",1.03,0.0032,0.0103,TRUE,TRUE,FALSE,0,"UPF0381 protein yfcZ"
"yfdH","P77293",1.42,0.0196,0.0384,TRUE,TRUE,FALSE,0,"Bactoprenol glucosyl transferase homolog from prophage CPS-53"
"yfeX","P76536",1.45,0.000241,0.00204,TRUE,TRUE,FALSE,0,"Probable deferrochelatase/peroxidase YfeX"
"yfeY","P76537",1.18,0.00192,0.00731,TRUE,TRUE,FALSE,0,"Uncharacterized protein yfeY"
"yffS","P76550",1.11,0.0227,0.0429,TRUE,TRUE,FALSE,0,"Uncharacterized protein yffS"
"yfgC","P66948",1.45,2.01e-05,0.00125,TRUE,TRUE,FALSE,0,"TPR repeat-containing protein yfgC"
"yfgD","P76569",1.9,0.000116,0.00147,TRUE,TRUE,FALSE,0,"Uncharacterized protein YfgD"
"yfgM","P76576",2.48,0.0113,0.0253,TRUE,TRUE,FALSE,0,"UPF0070 protein yfgM"
"yfhM","P76578",1.68,3.43e-05,0.00125,TRUE,TRUE,FALSE,0,"Uncharacterized lipoprotein yfhM"
"yfiF","P0AGJ5",1.3,0.000896,0.00447,TRUE,TRUE,FALSE,0,"Uncharacterized tRNA/rRNA methyltransferase YfiF"
"yfiQ","P76594",1.12,0.000675,0.00376,TRUE,TRUE,FALSE,0,"Uncharacterized protein yfiQ"
"ygdH","P0ADR8",1.21,0.000826,0.00428,TRUE,TRUE,FALSE,0,"LOG family protein ygdH"
"ygdK","P0AGF2",1.49,0.00805,0.0197,TRUE,TRUE,FALSE,0,"Uncharacterized SufE-like protein YgdK"
"ygfZ","P0ADE8",1.29,1.89e-05,0.00125,TRUE,TRUE,FALSE,0,"tRNA-modifying protein ygfZ"
"yggN","P0ADS9",2.04,0.0118,0.026,TRUE,TRUE,FALSE,0,"Uncharacterized protein yggN"
"yggT","P64564",3.9,1.74e-05,0.00125,TRUE,TRUE,FALSE,0,"Uncharacterized protein yggT"
"yggX","P0A8P3",1.21,0.00065,0.00368,TRUE,TRUE,FALSE,0,"Probable Fe(2+)-trafficking protein"
"yghA","P0AG84",1.08,0.000639,0.00364,TRUE,TRUE,FALSE,0,"Uncharacterized oxidoreductase yghA"
"yghU","Q46845",1.21,0.000719,0.0039,TRUE,TRUE,FALSE,0,"Uncharacterized GST-like protein yghU"
"ygiC","P0ADT5",1.13,0.000311,0.00237,TRUE,TRUE,FALSE,0,"Uncharacterized protein ygiC"
"ygiF","P30871",1.62,0.000253,0.00209,TRUE,TRUE,FALSE,0,"Uncharacterized protein ygiF"
"ygiM","P0ADT8",1.17,0.000155,0.00159,TRUE,TRUE,FALSE,0,"Uncharacterized protein ygiM"
"ygiN","P0ADU2",1.81,7.21e-06,0.00125,TRUE,TRUE,FALSE,0,"Probable quinol monooxygenase ygiN"
"ygiS","Q46863",2.23,0.00743,0.0187,TRUE,TRUE,FALSE,0,"Putative binding protein ygiS"
"yhaJ","P67660",2.23,2.47e-06,0.00125,TRUE,TRUE,FALSE,0,"Uncharacterized HTH-type transcriptional regulator YhaJ"
"yhbJ","P0A894",1.47,0.0106,0.0241,TRUE,TRUE,FALSE,0,"UPF0042 nucleotide-binding protein YhbJ"
"yhbO","P45470",1.16,0.0156,0.0323,TRUE,TRUE,FALSE,0,"Protein yhbO"
"yhbS","P63417",1.01,0.00119,0.00535,TRUE,TRUE,FALSE,0,"Uncharacterized N-acetyltransferase YhbS"
"yhbW","P0ADV5",1.42,0.00249,0.00874,TRUE,TRUE,FALSE,0,"Uncharacterized protein yhbW"
"yhbY","P0AGK4",3.68,0.0174,0.035,TRUE,TRUE,TRUE,4,"RNA-binding protein YhbY"
"yhcB","P0ADW3",1.61,2.19e-05,0.00125,TRUE,TRUE,FALSE,0,"Putative cytochrome d ubiquinol oxidase subunit 3"
"yhdE","P25536",1.26,0.000122,0.00148,TRUE,TRUE,FALSE,0,"Maf-like protein yhdE"
"yhdH","P26646",1.18,0.000129,0.00151,TRUE,TRUE,FALSE,0,"Putative quinone oxidoreductase YhdH"
"yhdP","P46474",1.47,0.00314,0.0102,TRUE,TRUE,FALSE,0,"Uncharacterized protein yhdP"
"yheS","P63389",1.29,0.000527,0.00324,TRUE,TRUE,FALSE,0,"Uncharacterized ABC transporter ATP-binding protein YheS"
"yhgF","P46837",1.3,0.000556,0.00336,TRUE,TRUE,FALSE,0,"Protein yhgF"
"yhhW","P46852",1.06,0.00189,0.00724,TRUE,TRUE,FALSE,0,"Quercetin 2,3-dioxygenase"
"yhhX","P46853",1.03,0.000137,0.00152,TRUE,TRUE,FALSE,0,"Uncharacterized oxidoreductase YhhX"
"yhiI","P37626",1.84,0.00606,0.016,TRUE,TRUE,FALSE,0,"Uncharacterized protein yhiI"
"yhiN","P37631",1.32,0.0116,0.0258,TRUE,TRUE,FALSE,0,"Uncharacterized protein yhiN"
"yhjD","P37642",1.19,0.00793,0.0195,TRUE,TRUE,FALSE,0,"Inner membrane protein yhjD"
"yhjG","P37645",1.39,2.31e-05,0.00125,TRUE,TRUE,FALSE,0,"Uncharacterized protein yhjG"
"yhjJ","P37648",1.29,5.91e-05,0.00125,TRUE,TRUE,FALSE,0,"Protein yhjJ"
"yiaD","P37665",1.4,0.00877,0.0211,TRUE,TRUE,FALSE,0,"Inner membrane lipoprotein YiaD"
"yiaF","P0ADK0",1.16,0.0018,0.00703,TRUE,TRUE,FALSE,0,"Uncharacterized protein yiaF"
"yibL","P0ADK8",1.14,0.00874,0.021,TRUE,TRUE,FALSE,0,"Uncharacterized protein yibL"
"yibT","Q2M7R5",1.14,0.000304,0.00234,TRUE,TRUE,FALSE,0,"Uncharacterized protein yibT"
"yicC","P23839",1.2,7.49e-05,0.00129,TRUE,TRUE,FALSE,0,"UPF0701 protein yicC"
"yicH","P31433",1.28,0.00433,0.0127,TRUE,TRUE,FALSE,0,"Uncharacterized protein yicH"
"yidC","P25714",1.18,8.99e-05,0.00133,TRUE,TRUE,FALSE,0,"Membrane protein insertase YidC"
"yidR","P31455",1.17,0.00131,0.00568,TRUE,TRUE,FALSE,0,"Uncharacterized protein YidR"
"yieF","P0AGE6",1.71,8.1e-05,0.0013,TRUE,TRUE,FALSE,0,"Uncharacterized protein yieF"
"yieP","P31475",1.1,0.00486,0.0138,TRUE,TRUE,FALSE,0,"Uncharacterized HTH-type transcriptional regulator YieP"
"yifE","P0ADN2",1.02,0.00281,0.00951,TRUE,TRUE,FALSE,0,"UPF0438 protein yifE"
"yigI","P0ADP2",1.95,4.24e-05,0.00125,TRUE,TRUE,FALSE,0,"Uncharacterized protein yigI"
"yigL","P27848",1.2,0.00291,0.0097,TRUE,TRUE,FALSE,0,"Pyridoxal phosphate phosphatase YigL"
"yihD","P0ADP9",1.49,2.89e-05,0.00125,TRUE,TRUE,FALSE,0,"Protein yihD"
"yihW","P32144",1.77,0.00881,0.0211,TRUE,TRUE,FALSE,0,"Uncharacterized HTH-type transcriptional regulator YihW"
"yihX","P0A8Y3",1.99,3.12e-05,0.00125,TRUE,TRUE,FALSE,0,"Alpha-D-glucose-1-phosphate phosphatase YihX"
"yiiD","P0ADQ2",1.19,0.0013,0.00566,TRUE,TRUE,FALSE,0,"Uncharacterized protein yiiD"
"yiiM","P32157",1.52,0.000646,0.00367,TRUE,TRUE,FALSE,0,"Protein yiiM"
"yjaG","P32680",1.52,0.007,0.0178,TRUE,TRUE,FALSE,0,"Uncharacterized protein yjaG"
"yjbJ","P68206",1.29,0.000744,0.00399,TRUE,TRUE,FALSE,0,"UPF0337 protein yjbJ"
"yjbR","P0AF50",1.77,0.00153,0.00629,TRUE,TRUE,FALSE,0,"Uncharacterized protein yjbR"
"yjdC","P0ACU7",1.59,0.00015,0.00158,TRUE,TRUE,FALSE,0,"HTH-type transcriptional regulator YjdC"
"yjeE","P0AF67",1.14,0.000111,0.00145,TRUE,TRUE,FALSE,0,"UPF0079 ATP-binding protein yjeE"
"yjfP","P39298",1.69,0.00887,0.0212,TRUE,TRUE,FALSE,0,"Esterase yjfP"
"yjgA","P0A8X0",1.09,0.00045,0.00292,TRUE,TRUE,FALSE,0,"UPF0307 protein YjgA"
"yjgB","P27250",1.05,0.000752,0.00401,TRUE,TRUE,FALSE,0,"Uncharacterized zinc-type alcohol dehydrogenase-like protein YjgB"
"yjgM","P39337",1.67,0.0088,0.0211,TRUE,TRUE,TRUE,2,"Uncharacterized N-acetyltransferase YjgM"
"yjgR","P39342",1.11,0.000374,0.00265,TRUE,TRUE,FALSE,0,"Uncharacterized protein yjgR"
"yjhC","P39353",1.63,0.00113,0.00514,TRUE,TRUE,FALSE,0,"Uncharacterized oxidoreductase YjhC"
"yjhU","P39356",1.23,0.000348,0.00254,TRUE,TRUE,FALSE,0,"Uncharacterized transcriptional regulator YjhU"
"yjjK","P0A9W3",1.24,5.73e-05,0.00125,TRUE,TRUE,FALSE,0,"Uncharacterized ABC transporter ATP-binding protein YjjK"
"yjjV","P39408",1.65,0.0189,0.0373,TRUE,TRUE,FALSE,0,"Uncharacterized deoxyribonuclease YjjV"
"ykgE","P77252",2.74,0.0103,0.0237,TRUE,TRUE,TRUE,2,"Uncharacterized protein ykgE"
"ykgF","P77536",2.07,0.000509,0.00316,TRUE,TRUE,TRUE,3,"Uncharacterized electron transport protein ykgF"
"ymbA","P0AB10",1.96,0.000165,0.00166,TRUE,TRUE,FALSE,0,"Uncharacterized lipoprotein ymbA"
"ymdB","P0A8D6",1.84,0.00607,0.016,TRUE,TRUE,FALSE,0,"O-acetyl-ADP-ribose deacetylase"
"ymdC","P75919",1.44,0.0119,0.0262,TRUE,TRUE,FALSE,0,"Uncharacterized protein YmdC"
"ynfF","P77783",1.5,0.000109,0.00143,TRUE,TRUE,FALSE,0,"Probable dimethyl sulfoxide reductase chain ynfF"
"yniA","P77739",1.17,0.000606,0.00355,TRUE,TRUE,FALSE,0,"Uncharacterized protein yniA"
"ynjB","P76223",1.28,6.3e-05,0.00125,TRUE,TRUE,FALSE,0,"Protein ynjB"
"ynjE","P78067",1.31,2.58e-05,0.00125,TRUE,TRUE,FALSE,0,"Thiosulfate sulfurtransferase YnjE"
"yoaB","P0AEB7",1.04,0.00627,0.0164,TRUE,TRUE,FALSE,0,"RutC family protein yoaB"
"yohF","P33368",1.13,0.000685,0.0038,TRUE,TRUE,FALSE,0,"Uncharacterized oxidoreductase yohF"
"yphG","P76585",1.74,0.000105,0.00142,TRUE,TRUE,FALSE,0,"Uncharacterized protein yphG"
"yqcC","Q46919",4.36,0.000135,0.00152,TRUE,TRUE,TRUE,3,"Uncharacterized protein yqcC"
"yqfB","P67603",1.55,0.000237,0.00203,TRUE,TRUE,FALSE,0,"UPF0267 protein yqfB"
"yqgE","P0A8W5",1.34,0.000133,0.00152,TRUE,TRUE,FALSE,0,"UPF0301 protein yqgE"
"yqhD","Q46856",1.28,0.000291,0.00228,TRUE,TRUE,FALSE,0,"Alcohol dehydrogenase YqhD"
"yqjG","P42620",1.14,0.000132,0.00152,TRUE,TRUE,FALSE,0,"Uncharacterized protein yqjG"
"yqjI","P64588",1.11,0.006,0.0159,TRUE,TRUE,FALSE,0,"Transcriptional regulator YqjI"
"yqjK","Q47710",1.64,0.000172,0.0017,TRUE,TRUE,FALSE,0,"Uncharacterized protein yqjK"
"yraP","P64596",1.18,0.00015,0.00158,TRUE,TRUE,FALSE,0,"Uncharacterized protein yraP"
"yraR","P45469",2.27,0.00013,0.00151,TRUE,TRUE,FALSE,0,"Uncharacterized protein yraR"
"ysgA","P56262",1,0.0108,0.0246,TRUE,TRUE,FALSE,0,"Putative carboxymethylenebutenolidase"
"ytfB","P39310",1.18,0.00038,0.00266,TRUE,TRUE,FALSE,0,"Uncharacterized protein ytfB"
"ytfP","P0AE48",1.32,0.000187,0.00179,TRUE,TRUE,FALSE,0,"Gamma-glutamylcyclotransferase family protein ytfP"
"ytfQ","P39325",1.11,0.000404,0.00276,TRUE,TRUE,FALSE,0,"ABC transporter periplasmic-binding protein ytfQ"
"YTHDC1","Q96MU7-2",-3.55,0.00542,0.0149,TRUE,TRUE,TRUE,1,"YTH domain-containing protein 1"
"zapA","P0ADS2",1.52,0.000466,0.00298,TRUE,TRUE,FALSE,0,"Cell division protein ZapA"
"zapB","P0AF36",1.88,0.00169,0.00668,TRUE,TRUE,FALSE,0,"Cell division protein ZapB"
"zapD","P36680",1.18,0.000503,0.00313,TRUE,TRUE,FALSE,0,"Cell division protein ZapD"
"ZC3H18","E7ERS3",-1.01,0.000191,0.00181,TRUE,TRUE,FALSE,0,"Zinc finger CCCH domain-containing protein 18"
"ZEB1","G3V1R3",-1.09,0.00535,0.0148,TRUE,TRUE,FALSE,0,"Zinc finger E-box-binding homeobox 1"
"zipA","P77173",1.18,0.00085,0.00434,TRUE,TRUE,FALSE,0,"Cell division protein ZipA"
"ZNF326","Q5BKZ1",-1.52,0.00615,0.0162,TRUE,TRUE,FALSE,0,"DBIRD complex subunit ZNF326"
"ZNF638","Q14966-3",-1.1,0.0168,0.0341,TRUE,TRUE,FALSE,0,"Zinc finger protein 638"
"zntB","P64423",1.38,0.00227,0.00814,TRUE,TRUE,FALSE,0,"Zinc transport protein ZntB"
"znuA","P39172",1.34,0.000351,0.00254,TRUE,TRUE,FALSE,0,"High-affinity zinc uptake system protein znuA"
"zwf","P0AC53",1.4,2.6e-05,0.00125,TRUE,TRUE,FALSE,0,"Glucose-6-phosphate 1-dehydrogenase;Extracellular death factor"
"AAAS","Q9NRG9",-0.404,0.0234,0.044,FALSE,FALSE,FALSE,0,"Aladin"
"AACS","Q86V21",-0.702,0.00967,0.0226,FALSE,FALSE,FALSE,0,"Acetoacetyl-CoA synthetase"
"AARS","P49588",-0.411,0.0104,0.0237,FALSE,FALSE,FALSE,0,"Alanine--tRNA ligase, cytoplasmic"
"AARS2","Q5JTZ9",-2.49,0.137,0.182,FALSE,FALSE,TRUE,1,"Alanine--tRNA ligase, mitochondrial"
"AARSD1","Q9BTE6",-0.625,0.0036,0.0112,FALSE,FALSE,FALSE,0,"Alanyl-tRNA editing protein Aarsd1"
"AASDHPPT","Q9NRN7",-0.484,0.0497,0.0791,FALSE,FALSE,FALSE,0,"L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase"
"ABCB7","G3V1J3",-0.335,0.211,0.264,FALSE,FALSE,FALSE,0,"ATP-binding cassette sub-family B member 7, mitochondrial"
"ABCC1","F5GXL7",-0.767,0.00411,0.0122,FALSE,FALSE,FALSE,0,"Multidrug resistance-associated protein 1"
"ABCC4","O15439-2",-1.61,0.165,0.214,FALSE,FALSE,FALSE,0,"Multidrug resistance-associated protein 4"
"ABCE1","P61221",-0.62,0.0276,0.05,FALSE,FALSE,FALSE,0,"ATP-binding cassette sub-family E member 1"
"ABCF1","Q8NE71",-0.679,0.000621,0.00359,FALSE,FALSE,FALSE,0,"ATP-binding cassette sub-family F member 1"
"ABCF2","Q9UG63",-0.386,0.0555,0.0863,FALSE,FALSE,FALSE,0,"ATP-binding cassette sub-family F member 2"
"ABCF3","Q9NUQ8-2",0.287,0.407,0.462,FALSE,FALSE,FALSE,0,"ATP-binding cassette sub-family F member 3"
"ABCG2","H0YAF3",-0.0103,0.984,0.987,FALSE,FALSE,TRUE,1,"ATP-binding cassette sub-family G member 2"
"ABHD10","Q9NUJ1",-0.333,0.206,0.258,FALSE,FALSE,FALSE,0,"Abhydrolase domain-containing protein 10, mitochondrial"
"ABHD11","H7BYM8",1.12,0.041,0.0678,FALSE,FALSE,TRUE,3,"Abhydrolase domain-containing protein 11"
"ABHD12","Q8N2K0-3",-0.538,0.0294,0.0524,FALSE,FALSE,FALSE,0,"Monoacylglycerol lipase ABHD12"
"ABHD14B","B4DNR3",-0.608,0.0348,0.0597,FALSE,FALSE,FALSE,0,"Abhydrolase domain-containing protein 14B"
"ABHD16A","F6WSP1",0.148,0.678,0.72,FALSE,FALSE,FALSE,0,"Abhydrolase domain-containing protein 16A"
"ABL1","H7C1H8",-0.317,0.332,0.388,FALSE,FALSE,FALSE,0,"Tyrosine-protein kinase ABL1"
"ABLIM1","O14639",-0.437,0.152,0.2,FALSE,FALSE,FALSE,0,"Actin-binding LIM protein 1"
"ACAA2","P42765",-0.444,0.0217,0.0416,FALSE,FALSE,FALSE,0,"3-ketoacyl-CoA thiolase, mitochondrial"
"ACACA","Q13085-2",-0.465,0.0129,0.028,FALSE,FALSE,FALSE,0,"Acetyl-CoA carboxylase 1;Biotin carboxylase"
"ACAD10","F8W1I9",0.293,0.115,0.157,FALSE,FALSE,FALSE,0,"Acyl-CoA dehydrogenase family member 10"
"ACAD11","Q709F0",-0.173,0.637,0.682,FALSE,FALSE,FALSE,0,"Acyl-CoA dehydrogenase family member 11"
"ACAD9","H0Y8Z9",-0.0633,0.782,0.814,FALSE,FALSE,FALSE,0,"Acyl-CoA dehydrogenase family member 9, mitochondrial"
"ACADM","B4DJE7",-0.828,0.0443,0.0722,FALSE,FALSE,FALSE,0,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial"
"ACADVL","P49748-2",-0.279,0.056,0.087,FALSE,FALSE,FALSE,0,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial"
"ACAP2","Q15057",-0.902,0.121,0.164,FALSE,FALSE,TRUE,3,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2"
"ACAT1","P24752",-0.407,0.0212,0.0409,FALSE,FALSE,FALSE,0,"Acetyl-CoA acetyltransferase, mitochondrial"
"ACAT2","Q9BWD1",-0.299,0.121,0.164,FALSE,FALSE,FALSE,0,"Acetyl-CoA acetyltransferase, cytosolic"
"ACBD3","Q9H3P7",-0.534,0.354,0.41,FALSE,FALSE,FALSE,0,"Golgi resident protein GCP60"
"aceA","P0A9G6",0.865,0.000264,0.00215,FALSE,FALSE,FALSE,0,"Isocitrate lyase"
"ACIN1","Q9UKV3-5",-0.772,0.000392,0.00271,FALSE,FALSE,FALSE,0,"Apoptotic chromatin condensation inducer in the nucleus"
"ackA","P0A6A3",0.972,0.000106,0.00142,FALSE,FALSE,FALSE,0,"Acetate kinase"
"ACLY","P53396",-0.638,0.00102,0.00485,FALSE,FALSE,FALSE,0,"ATP-citrate synthase"
"ACO1","P21399",-0.453,0.0126,0.0274,FALSE,FALSE,FALSE,0,"Cytoplasmic aconitate hydratase"
"ACO2","Q99798",-0.62,0.027,0.049,FALSE,FALSE,FALSE,0,"Aconitate hydratase, mitochondrial"
"ACOT13","Q9NPJ3",-0.761,0.00292,0.00972,FALSE,FALSE,FALSE,0,"Acyl-coenzyme A thioesterase 13"
"ACOT2","B3KSA0",0.268,0.268,0.324,FALSE,FALSE,FALSE,0,"Acyl-coenzyme A thioesterase 1;Acyl-coenzyme A thioesterase 2, mitochondrial"
"ACOT7","O00154-2",-0.615,0.00601,0.0159,FALSE,FALSE,FALSE,0,"Cytosolic acyl coenzyme A thioester hydrolase"
"ACOT9","Q9Y305-2",-0.336,0.0353,0.0603,FALSE,FALSE,FALSE,0,"Acyl-coenzyme A thioesterase 9, mitochondrial"
"ACP1","P24666",-0.647,0.0107,0.0244,FALSE,FALSE,FALSE,0,"Low molecular weight phosphotyrosine protein phosphatase"
"ACP2","E9PHY0",-0.499,0.0974,0.137,FALSE,FALSE,FALSE,0,"Lysosomal acid phosphatase"
"acpP","P0A6A8",0.551,0.0152,0.0317,FALSE,FALSE,FALSE,0,"Acyl carrier protein"
"ACSF2","B4DUF5",0.42,0.188,0.239,FALSE,FALSE,TRUE,1,"Acyl-CoA synthetase family member 2, mitochondrial"
"ACSF3","Q4G176",-0.255,0.504,0.556,FALSE,FALSE,FALSE,0,"Acyl-CoA synthetase family member 3, mitochondrial"
"ACSL3","O95573",-0.568,0.00209,0.00775,FALSE,FALSE,FALSE,0,"Long-chain-fatty-acid--CoA ligase 3"
"ACTL6A","O96019",-0.398,0.0428,0.0702,FALSE,FALSE,FALSE,0,"Actin-like protein 6A"
"ACTL8","Q9H568",-0.136,0.807,0.836,FALSE,FALSE,FALSE,0,"Actin-like protein 8"
"ACTN1","P12814-2",-0.514,0.0082,0.02,FALSE,FALSE,FALSE,0,"Alpha-actinin-1"
"ACTN4","O43707",-0.552,0.00629,0.0164,FALSE,FALSE,FALSE,0,"Alpha-actinin-4"
"ACTR10","Q9NZ32",0.0489,0.845,0.869,FALSE,FALSE,FALSE,0,"Actin-related protein 10"
"ACTR1A","P61163",-0.535,0.0137,0.0292,FALSE,FALSE,FALSE,0,"Alpha-centractin"
"ACTR2","P61160",-0.586,0.00619,0.0163,FALSE,FALSE,FALSE,0,"Actin-related protein 2"
"ACTR3","P61158",-0.64,0.00185,0.00713,FALSE,FALSE,FALSE,0,"Actin-related protein 3"
"ACTR5","Q9H9F9",-0.961,0.0165,0.0335,FALSE,FALSE,FALSE,0,"Actin-related protein 5"
"ACTR8","Q9H981",-0.322,0.49,0.543,FALSE,FALSE,FALSE,0,"Actin-related protein 8"
"ACY1","C9J9D8",-0.176,0.426,0.481,FALSE,FALSE,FALSE,0,"Aminoacylase-1"
"ADA","F5GXW0",-0.765,0.0641,0.0971,FALSE,FALSE,FALSE,0,"Adenosine deaminase"
"ADAM10","O14672",-0.748,0.0849,0.122,FALSE,FALSE,FALSE,0,"Disintegrin and metalloproteinase domain-containing protein 10"
"ADAM9","Q13443",-0.513,0.0281,0.0506,FALSE,FALSE,TRUE,1,"Disintegrin and metalloproteinase domain-containing protein 9"
"ADAR","P55265-5",-0.426,0.00888,0.0212,FALSE,FALSE,FALSE,0,"Double-stranded RNA-specific adenosine deaminase"
"ADARB1","P78563",-0.261,0.326,0.382,FALSE,FALSE,FALSE,0,"Double-stranded RNA-specific editase 1"
"ADD1","P35611-2",-1.96,0.0693,0.103,FALSE,FALSE,TRUE,1,"Alpha-adducin"
"ADD3","Q9UEY8-2",-0.701,0.106,0.147,FALSE,FALSE,TRUE,3,"Gamma-adducin"
"ADH5","P11766",-0.885,0.00105,0.00496,FALSE,FALSE,FALSE,0,"Alcohol dehydrogenase class-3"
"adhE","P0A9Q7",0.948,0.000122,0.00148,FALSE,FALSE,FALSE,0,"Aldehyde-alcohol dehydrogenase;Alcohol dehydrogenase;Acetaldehyde dehydrogenase [acetylating];Pyruvate-formate-lyase deactivase"
"ADI1","Q9BV57",-0.608,0.0408,0.0675,FALSE,FALSE,FALSE,0,"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase"
"ADK","P55263-2",-0.668,0.0137,0.0291,FALSE,FALSE,FALSE,0,"Adenosine kinase"
"ADNP","Q9H2P0",-0.548,0.108,0.149,FALSE,FALSE,FALSE,0,"Activity-dependent neuroprotector homeobox protein"
"ADPGK","Q9BRR6-2",-1.3,0.129,0.174,FALSE,FALSE,TRUE,1,"ADP-dependent glucokinase"
"ADRBK1","P25098",-0.735,0.0155,0.0321,FALSE,FALSE,FALSE,0,"Beta-adrenergic receptor kinase 1"
"ADRM1","E9PEC0",-0.569,0.00568,0.0154,FALSE,FALSE,FALSE,0,"Proteasomal ubiquitin receptor ADRM1"
"ADSL","P30566",-0.392,0.0343,0.0591,FALSE,FALSE,FALSE,0,"Adenylosuccinate lyase"
